plan_mem,count
20.0,413
30.0,378385
40.0,35
50.0,792315
60.0,74
70.0,58
80.0,772
90.0,6
100.0,276758
110.0,5
120.0,11
130.0,1
150.0,7
160.0,2141
180.0,7
190.0,10371
200.0,2927
210.0,2420
220.0,8
230.0,25
240.0,16
250.0,9
260.0,3
270.0,4
280.0,21
290.0,17
300.0,87
310.0,129
320.0,102
330.0,62
340.0,24
350.0,34
360.0,29
370.0,2233
380.0,10
390.0,30259
400.0,164
410.0,19
420.0,21
430.0,41
440.0,22
450.0,17
460.0,21
470.0,5
480.0,26
490.0,15
500.0,8
510.0,11
520.0,120
530.0,13
540.0,28
550.0,1
560.0,5
570.0,6
580.0,85
590.0,42159
600.0,353
610.0,451
620.0,1
630.0,120
650.0,57
660.0,6
670.0,35
680.0,1
690.0,8
700.0,2
710.0,18
730.0,35
750.0,21
760.0,7
770.0,1753
780.0,1048
790.0,2477
800.0,2
820.0,9
830.0,12
840.0,10
860.0,36
870.0,7
880.0,15
890.0,10
900.0,16
910.0,5
920.0,17
940.0,7
960.0,2913
980.0,16
1000.0,4
1010.0,19
1020.0,4
1030.0,10
1040.0,9
1050.0,13
1070.0,19
1080.0,5
1090.0,8
1110.0,2
1130.0,3
1140.0,7
1150.0,525
1160.0,144
1170.0,29
1180.0,46
1190.0,12
1200.0,16
1210.0,30
1220.0,27
1230.0,4
1240.0,10
1250.0,3
1260.0,6
1270.0,1
1280.0,4
1290.0,637
1300.0,10
1310.0,4
1320.0,8
1330.0,17
1340.0,1169
1360.0,14
1370.0,8
1380.0,12
1400.0,6
1420.0,16
1430.0,12
1450.0,11
1460.0,2
1470.0,16
1480.0,9
1490.0,22
1500.0,1
1510.0,28
1530.0,5949
1550.0,29
1570.0,453
1580.0,2
1590.0,34
1600.0,2
1610.0,11
1630.0,6
1640.0,1
1660.0,3
1680.0,4
1700.0,8
1710.0,2
1720.0,363815
1740.0,12
1750.0,7
1760.0,4
1780.0,1
1800.0,2
1810.0,4
1820.0,14
1830.0,5
1840.0,2
1850.0,8
1870.0,2
1880.0,6
1890.0,1
1910.0,528
1930.0,2
1950.0,6
1960.0,490
1970.0,42
2009.9999999999998,4
2029.9999999999998,2
2060.0,5
2080.0,3
2100.0,1
2150.0,22
2160.0,1
2180.0,2
2200.0,1
2220.0,3
2240.0,2
2250.0,1
2270.0,1
2290.0,6
2310.0,2
2350.0,492
2370.0,4
2390.0,4
2410.0,1
2430.0,1
2460.0,1
2500.0,2
2520.0,3
2540.0,1
2580.0,4510
2600.0,4
2620.0,1
2640.0,2
2670.0,11
2690.0,1
2710.0,7
2730.0,34
2740.0,91
2750.0,2
2790.0,1
2850.0,1
2860.0,103
2880.0,1
2920.0,2
2960.0,1
2970.0,1
3000.0,3
3060.0,7
3070.0,1
3130.0,26
3150.0,1
3190.0,2
3240.0,1
3320.0,1
3420.0,2
3440.0,5969
3460.0,2
3490.0,1
3530.0,1
3560.0,2
3670.0,1
3720.0,5
3730.0,3
3770.0,1
3810.0,31
3820.0,120
3840.0,1
3880.0,1
3890.0,1
3910.0,12
3950.0,1
3970.0,1
3990.0,2
4030.0000000000005,4
4050.0,2
4070.0000000000005,4
4090.0,4
4160.0,1
4260.0,1
4300.0,1
4370.0,1
4450.0,2
4580.0,49
4730.0,1
4770.0,52
4790.0,2
4850.0,1
4890.0,1
4910.0,1
4960.0,1
4980.0,1
5020.0,1
5060.0,1
5120.0,1
5130.0,1
5160.0,4
5170.0,3
5190.0,1
5270.0,1
5400.0,4
5460.0,1
5500.0,2
5720.0,725
5730.0,66
6410.0,1
6470.0,2
6490.0,1
6570.0,1
6620.0,1
6640.0,59
6790.0,1
6870.0,8
6970.0,1
7060.0,1
7120.0,2
7820.0,1
8210.0,90
8420.0,1
8600.0,7
9010.0,1
9540.0,1
9580.0,1
9650.0,1
9670.0,1
9790.0,1
9900.0,1
10170.0,1
10420.0,1
10570.0,1
11220.0,1
11280.0,1
11540.0,1
11580.0,1
12060.0,1
12690.0,1
15010.0,1
15210.0,1
15450.0,1
15610.0,1
16100.000000000002,1
16540.0,1
16810.0,1
17170.0,8
